,rating,review
114,1,hhh
115,4,exlinat deliver boy
116,5,not satisfied with  customer service 
117,5,bad food 
118,2,please follow customer's instructions properly. I have asked to not to make anything spicy but you guys made it too spicy.
119,5,perfect 
120,5,supb
121,1,Worthless
122,5,I have ordered grill cheese sandwich and there is no cheese 
123,5,good fast best
124,1,I have received wrong parcel total fraud with me
125,1,Horrible… don’t ruin your name by giving this types of food
126,5,bakavash
127,1,Want to return it
128,1,i never expected they will send maked dosa<br/>
129,1,delivery boy was very kind 
130,1,very smelly pav bhaji
131,2,Finger licking delicious as alwaysss !
132,5,good 
133,1,order delivery before time.tks
134,4,bhai ishse ghatiya kuchh nahi khaya aaj tak
135,5,ok
136,2,not taeste
137,1,Don’t send cutlery
138,4,very good savis
139,3,Please follow the customer's instructions properly.
140,5,best Peking on food 
141,1,masala pav is not came in order so please next time take care for that
142,1,the mysore masala sabji was just so bad in taste it smells and tastes like shit
143,1,Delicious Food 
144,1,good service 
145,1,worst pulao ever
146,1,Spoon Not available
147,3,delivery boy good anf helpfull and very good beheviar.. i like her talking way and service.
148,1,🥄 spoon nhi tha yahi hai buss<br/>wrna or sab msttt
149,5,masala pav aaya hai nay tu kisa star do
150,1,food was spicy
151,1,late dilivery and food boht bakvas tha <br/>never order from this restaurant
152,4,very bad food deleverd. 
153,1,"After Ravi has gone, the taste is going bad to… we are Ravi’s school friends… so we know the taste which was before…. Now it is really going worst…"
154,1,Thanks. great food. love that you are take in account customer Notes for food. will order in future. Cheers!
155,1,good
156,1,everything was good just a suggestion to please keep spoons and tissues as well 
157,4,so late delivery
158,5,good 
159,5,good
160,5,plz read instruction 
161,1,bhaji need to supply in containers...stop in plastic bag
162,1,It is like rubber. Hard to chew... this is first time I am having a sandwich like this
163,1,They don't cancel order
164,5,yummy....too good as usevl
165,1,I have ordered cold coffee and they delivered thik shake
166,5,6 bola tha fir bi only 1 pc 
167,4,superb
168,1,it's peanuts shake. other flavours are far much better.
169,1,size of both item is very less 
170,1,your delivery is best but within 1 km range 70 rupees item turns 105 rupees is too much
171,1,sugar  
172,5,very nice
173,5,totally stale food.
174,5,tasty 😋
175,3,good 😊
176,5,Taste is so good.. 👍👌
177,5,जादा ठिक नही था
178,5,अच्छा नही था
179,3,bad
180,1,osm delivery 
181,3,good
182,5,not good quality not good test
183,3,very laziz 
184,5,Best service by the delivery boy
185,1,pizza packing &amp; test is desi. coco excellent
186,5,Good
187,2,okk
188,5,nice
189,5,super 
190,1,No
191,5,Good one 
192,5,❤️‍🩹<br/>
193,5,it was okay<br/>beverage is not what I ordered and tastes really sweet
194,5,test good
195,1,not garam
196,3,🙏🏻જય સ્વામિનારાયણ<br/><br/>બહુ સરસ કોલ્ડ કોકો ક્વોલિટી બહુ સારી આભાર 
197,5,Ordered with so much craze but highly disappointed
198,1,find
199,4,Very Fast Delivery <br/><br/>Thanks Zomato
200,5,good 👍
201,5,delivery is too slow by zomato
202,4,I have ordered rajbhog thick shake with extra cashew. thay not extra cashew. and refuse to charge which I pay for extra cashew. also zomato not help me. very bad experience with mahalaxmi fast food and zomato. I tell my all friends not to use zomato and not order to mahalaxmi fast food. many other option we can. 
203,5,superb food best quality 
204,5,give me my money back for which i have paid and item was missed in parcel in last order to gangour udhna
205,1,not good 
206,5,!
207,1,Food was really nice - there were no chillies we enjoyed it 👍
208,5,good service 
209,5,late delivery
210,5,I don’t usually write reviews but I was compelled to write one due to the awesome tasting food with great packaging and on time delivery! Really happy with the quantity of food too. Highly recommended!!!! 
211,2,Bad behaviyar
212,5,sent less number of breads this time. I will never give order again to Gangor 
213,1,very cold that and loss item
214,5,price is very extra
215,3,FOOD WAS SO YUMM
216,1,Too gud
217,1,Hot and spice amazing
218,5,good 
219,5,when u prepair n send the parcel to coustomer pls check wat r u sending
220,5,Poor quality
221,1,I puked after having it. 
222,1,good 👍 👍 👍 👍 
223,5,not bad 
224,1,fantastic
225,5,test is best
226,1,good
227,5,not as expected
228,5,nice
229,5,always good
230,3,Very bad delivery<br/>I have mentioned not to ring bell <br/>Delivery boy has ring the bell which is very bad
231,3,exta kaju ka 40 piya lekin 10 rupey ke bheje 🤣makkhi chush
232,5,not happy with my order and your service.. 
233,5,the deliver guy didn't knock and opened the door directly
234,1,"taste and quality pehle jesa nhi,"
235,1,good
236,5,tast is better &amp; service is very satisfied
237,5,so small
238,2,thats diffrent from pic
239,5,fast delivery
240,5,many wested bismillah is rong<br/>Amul /s chcho chips super many 120 rs<br/>party pack 750 ml
241,1,Too much sugar. jjnnnnnnndnxbdhdbdbhdhfbhfhdhdhhdhdhh
242,1,superb 
243,5,"lots of cream instead of kaju anjeer, kaju and anjeer thick shake taste was ok and bcz of pieces thick cream it was not giving proper taste.<br/>try to add more kaju and anjeer instead of cream"
244,1,nice
245,1,good
246,5,osm quality
247,3,The delivery was made before time.thanks
248,5,the delivery executive was fabulous 😍🙏🏻
249,3,good 👍
250,5,wow
251,5,delivery service very bad
252,3,supar sarve
253,1,this was my condition of parcel
254,5,nice 👍🏼
255,5,wow
256,1,quantity was less then appear in order ...so I dnt think so much to prefer bismillah
257,5,your thick shake was like a milk shake.doesn't like it.👎
258,1,nice
259,1,good job<br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/>
260,2,thx 😊
261,1,Received both items melted and Sitafal was spoilt. can't consumed... Zomato is not ready to take any responsibility for the same..I believe they already know service of Bismilah still they have allowed them to serve us worst desert... Totally waste of money.. Big failure of Zomato as well as restaurant..
262,5,Taste like hell. Too bad Very Bad Not Good Quality
263,5,sab ghuli thi abhi kya kare ek dam bekar item nikla
264,5,not quality very late delivery not certified please service
265,1,not good..seems to be plain vanilla ice cream with just a little amount of cookies..more of just whipped cream..
266,5,food quantity was lace cause of scheme schedule otherwise u can enjoy more quantity on live at shop
267,1,I m buying from bismillah only every time but this time taste is very bad they are giving old or expiry thick shake
268,1,Bht bekar taste hai kabhi order ni Krna...Paisa barbaad 
269,1,want to talk with team ASAP
270,1,Great
271,5,it's has test of garlic 
272,5,The taste was soo good and spicy just how I like my food
273,4,teat saro hato.<br/>pan sandwich 🥪 pochi thai gayi hati tena karane maza nai aavi
274,3,Sandwich ka taste bhi accha nhi tha or 2-3 baal nikle
275,3,good 
276,1,Taste was very bad<br/>👎
277,1,Only kobiz and tometo but not testy<br/>And very hard bred<br/>West mony 
278,1,very nice 
279,1,its awesome packing 
280,1,Taste not good...half cooked 
281,2,again like last time a new issu food item were totally tasteless
282,1,nice
283,1,બાદ
284,1,very test full and quentatiy item
285,1,better 
286,5,very very very very nice food 😀🥑<br/>
287,5,yaami
288,4,The food was totaly bad in  taste… fried rice to pura jal gya hua tha bekar tha… <br/>Can’t recommend to any one
289,5,Good
290,2,osm test
291,4,food is very very bed chiter this shop <br/>don't oder in this shope vest money 
292,5,Charging 95 for cheese sandwich and where is the cheese ? Fooling customer don’t order
293,1,great
294,3,very low chesse like only vegetable plain sandwich restaurant take rate full and not give item quality
295,1,The restaurant service is not good and does not support.
296,1,bed quality of chapati and all item
297,1,Not good
298,5,not good food very bad taste
299,2,"it was good, only need to work on Roties "
300,3,not good 
301,1,okok
302,5,good food
303,3,Good 
304,1,bed food
305,5,yaha se khana mat order kariye<br/>total waste of money.<br/>itni gathiya quality ki chapati mene kabhi nahi dekh.<br/>kachha lot he aate ka.<br/>sabzi bhi puri ki puri dry he.<br/>kisi ko mar na he to yaha se sokh se khana mangvaye.
306,1,"Very bad service roti delivered only 4 pcs and out of 10,  rice full provide sabji less delivered, packing not properly."
307,1,"chappatis are not properly baked. I swear, they are 99% raw. what the restaurant wants to do with customer, make them vomit?<br/><br/>even a dog deserves better food then this. shame on you, same on your morals"
308,2,good 
309,1,good food
310,1,all food are partially prepared... waste of money...
311,5,good food and good service
312,3,quality and quantity is enough one person 
313,5,good
314,5,mils no good quality very much oily food quality is not good
315,1,Test Good But Service is Not Good 
316,4,clining not clear 
317,5,I don't like this type of food 
318,4,don't like it 
319,1,good 
320,1,Packing
321,4,rote very small saiz
322,1,super 
323,4,zometo n chandan bhojnalaya chit with me... 
324,4,Bekar  khana  roti was uncooked not propely cooked ..Sara khana  waste huaa..and mera money bhi waste huaa..I want to full refund....<br/>Plastic was banned in india..why this restaurant using plastics for food packaging...<br/>Give me proper ans  for this...I'll wating for your reply
325,1,very good 
326,4,"rice not well cooked , its seem like kachcha "
327,5,good 
328,1,this food may hurt our health... please refund my money.
329,5,or pehle to roti aati thi abhi q puri hi aati he.
330,5,worsttttt
331,1,good 
332,1,good 
333,2,best
334,1,कतई बकचोद 
335,5,very good 
336,5,good food
337,1,good 
338,5,3class quality
339,1,not good
340,5,bad experience 2nd time 
341,5,they didn't send cutlary and roti.
342,5,Make less qty and good quality food.
343,1,please improve your sabzi
344,1,not good package. ordered dibba thali(box packing). but order delivered in single single box and loose plastic bags 
345,2,delevary boy is not uniform and very bad behaviour 
346,1,test bakwas tha
347,1,"Food was okay but when I receive it ,it was cold but overall it is very good "
348,5,good service for delivery person 🤠
349,5,burger was cold and sweet and they didn't gave ketchup. disappointing .
350,1,bargar thanda ho chuka tha 
351,5,excellent
352,1,test of best 
353,2,/THANX FOR DELEVERY MY ORDER 
354,5,good 
355,5,it's osume taste and delivery is in less time so thank you 
356,5,Took an hour to deliver Cold Burgers 🍔
357,5,sezwan ketchup is very little applied. only name is sezwan burgers. no sezwan test in burger 
358,5,good 
359,2,some vaggis
360,4,exeelent
361,5,excellent 👍
362,5,normal Berger rate high size is small 
363,3,Nice bro <br/><br/>Ok
364,5,good 
365,5,bhut hi bekar sawad tha  
366,5,good
367,3,delivery is so slowly 
368,3,ok ok 
369,3,Hii
370,5,plz dhayan de pese le rahe ho to wesa bana ke bhi do
371,2,Worst food🤬
372,1,to good
373,5,received damaged food
374,1,worst experience first delivery late and second 70 ruppes ka burger he lutere..<br/>nobody buy from Ajay... faltu food
375,5,not hit baav bed quality 
376,2,best service and good taste 👍
377,1,delayed and cold
378,1,good job
379,5,ketchup is less 
380,3,super fantastic 👍👍
381,1,super fantastic 👍👍👍
382,2,very good service
383,5,Amazing👍
384,3,the aize could be bigger for the price
385,4,Good guy👍
386,4,they didn't send the sauce
387,4,let deliver
388,5,"Thanks u , Delivery in Time ."
389,5,Reasonable prices
390,5,nic<br/>
391,5,they don't provide me spoons 🥄
392,1,good
393,1,good 
394,1,goood
395,5,love d it
396,4,all is Good
397,1,Please Send Order as per mentioned In order book
398,5,both dishes delicious...🤤
399,5,thank you 💖
400,5,late delivery 
401,5,First of all the restaurant look is verry beautiful and food is verry tasty daining was verry comfortable for us. Servise was verry clerly done by prahlad the steward every thing is good but one lack I found from the caption  verry mutch attitude and he has to be improve their way of speaking rowadey language. Give respect to every one this was my first time visite i love your food
402,4,delivery timing is good &amp; food is very swadist
403,5,nice
404,1,No trest forood on dinner <br/>No Paking good <br/>No test <br/>H
405,1,nice 
406,1,Worst service
407,1,bad test 
408,1,ggooood
409,5,low quantity 
410,1,Very bad service
411,1,delivery boy is very good 
412,5,Good
413,5,very nice food
414,2,gu
415,5,very fast delivery 👏👏👏
416,5,veg kadi is spicy
417,1,They have not provided glass for cold coffee and no spoon for eating of biryani <br/><br/>Very ridiculous
418,5,very nice 🙂🙂
419,5,paner only 4 money vest karna hai paneer ni deta sahi grevi bhar deta hai poor quality.
420,1,very quick service
421,5,Taste is excellent and food was hygienic but one food is always very spicy
422,1,i dont want to eat this.
423,5,only gravy no Manchurian
424,2,delicious
425,2,Good 
426,5,I need refund
427,3,Anil Bhai good job . perfectly time . 
428,5,I expect better but it's okk taste is good 
429,5,had a bad smell in chinese bhel
430,1,"poor test not proper packing no fresh selad its poor like quality is not great, perfect quality, not looking good.  Test is not good and sent without packing."
431,1,some thing wrong with this dish..smell like taste as a medicine water used
432,5,good 
433,1,Naam bade darshan chhote 
434,1,good 
435,5,good 
436,4,nic
437,2,veg. crispy to sweet &amp; crispy like manchurian<br/>
438,3,good 
439,2,Yuuummmeeeee....😋
440,5,excellent
441,1,service very fast 
442,1,Cutlery dont sent by restaurant......
443,5,good food
444,2,good good
445,4,I Have Asked For Fry Noodles They Told To Give 10 Rs Extra  My Bill Value Almost 1000+
446,1,Not so good as compared
447,1,swit thi bekar
448,1,Best place to devour Chinese food. Panner recipes are top notch. Great service as always. Consistency with quality.
449,4,"@ Hotelier sent an ordered food only, it's a very bad blunder mistake. "
450,5,"when eat at your place it's look and taste delicious, bt whenever we made online order always it's bad taste and also not looking better."
451,4,fantastic food 😋
452,5,cabbage salad not include 
453,5,Took 1 hour instead of 37 mins approx delivery time quoted at the time of order. 
454,4,yume test
455,4,Provided item both are luze packaging and both are not hot. kindly using tin packing in future for item hot purpose many restaurants using packaging tin.
456,1,very testy 
457,4,zero spicy bola tha<br/>fir bhi spicy noodles bhej diya<br/><br/>
458,5,very bad experience..
459,5,bekar bilkul khana no test bilkul
460,3,very good
461,5,solt over use 
462,1,i am order biriyani and recived pulav
463,5,i always add cutlary in my order and i never got cutlary in my order. And when call up yo the owner he said he is out of station what a horrible response to the customer.
464,4,super
465,1,very bed experience 
466,5,please value of our money 
467,3,bakvas khana tha😡
468,5,no good 
469,1,very fast delivery 
470,1,lo koleti ka food making 
471,5,very nice 
472,5,Too spicy and tasteless
473,5,nice thali but one vegetable bad test 
474,1,food is good only the thing is some times buttermilk polythene has leakage
475,1,aise bhejna tha to menyu me kyun dusra dikhate ho
476,1,Never eat stale food to call it useless... the whole test is useless...Never ate stale food to call it useless... the whole test is useless... in my life I have never eaten more useless food than this.....
477,3,good
478,3,bekar
479,5,More spicy. Taste is not good.Waste of money.Not recommended to anyone.
480,1,very bad missing 2 items 
481,1,I had to be admitted to the hospital because I had a bad stomach
482,5,not gullab jamun and no test
483,2,"No one should eat such dirty vegetables even for free, was given full water, and then wasted money.  Didn't expect this from Zomato, had to throw away all the food"
484,1,Pathetic service first late order received and secand ko salt in any paratha
485,1,Thank You ☺️
486,5,good 
487,1,kitna ganda khana dety ho mahek rha tha 
488,5,as mentioned in instruction also again sent dal in foil bag in small quantity as complaint in last order and neither got pickle and onion in pannier combo.<br/><br/>
489,5,ekdam ghatia taste.
490,5,Cooking instructions were accepted but not considered.
491,1,never order aging 😒  full waste money 💰 
492,1,Fantastic
493,4,quality very poor. 
494,1,Worst dal makhani i have ever had.<br/>It looks like sabji.
495,3,nice 
496,1,sari sabji basi thi rice half Bowl bhi nhi tha roti bhi jali thi. test bhi bekar tha. fully unsatisfied with this hotel no test or very high rate
497,1,worst food
498,1,qwantity very less <br/>packing like street food biryani
499,1,good 
500,1,very bad survey
501,1,test is ok ok not best 
502,2,not good.. worst
503,5,ghatiya thali hai<br/>roti bhi thanda hai<br/>sabzi bhi bakwas hai<br/>halka halka vas bhi kar raha hai<br/>0 star ke like bhi nhi hai
504,5,"We order regularly from Sugar N Spice, have been customers for a long time. This was definitely not from Sugar N Spice. It was like the food from a road side place"
505,3,Packing was worst and taste was not good as we go for dining in the same restuarant.
506,1,Very bad taste
507,1,There is a no onion and pickel inside this parsal
508,4,please serve good food
509,1,This was not from sugar n spice it was brought from somewhere else waste of our money because the taste was not of sugar n spice also no name on box nor any bill
510,1,No butter roti given<br/>Rice and  hakka noodles with give onion i call after given order so why with give onion
511,1,Fabulous test 👌👌👌
512,2,good
513,1,they add milk in icecream and sell as milkshake<br/><br/>rubbish
514,3,tasty 
515,4,Ok okay
516,5,Falooda with fried noodles 😡<br/>No tuk mariyal in it.
517,1,Good
518,2,it was good i liked the taste but chocolate chips i added the quantity was less
519,5,it's yummy 😋
520,1,Parcel containers not good... please use disposal cups
521,5,good delivery boy 👍
522,3,west my money 
523,1,it is not Nutella
524,3,Sugar is more than required
525,1,good
526,1,this is badam milk shake not good worry 
527,2,do not go with this restaurant. i ordered 2 items. and both are not fresh.
528,5,food was nice and also delivery service was fast
529,1,bhot bekar bhai plz jo bhi bismilla shmaj k manga rha ho wo nahi mangaye iska test bhot khrab h muje to sab fek dena pada 🤬🤬🤬🙏🙏🙏
530,3,inset of thick shake milk shake is coming
531,1,test is not more testy 
532,1,wery nice fast🚴三 delivered
533,4,good
534,5,very Good 
535,4,pura Pani ho gaya tha
536,3,good
537,1,regret
538,3,roasted almond thickshake fully melted not at satisfied ...I want my money refund I throwed away in dustbin  or else giv us credit in my next order ...😡
539,5,awesome 😊👍
540,5,wow very fast delivery
541,1,Average ice cream can say prefer going with the big names and get quality products rather than selecting the new ones.
542,1,"Anhhhhh was really good btw, little melted but can’t blame anybody there<br/>Hey it’s ice cream right 😅"
543,2,How careless !!!
544,1,And that also very late
545,1,Faluda name Faltu Faluda
546,5,Maine Jo food Manga tha vah thick shake tha aur delivering Milne Tak vah mil se Kho Gaya
547,3,excellent 
548,1,thank you
549,3,Too much masala and the rice tasted weird
550,5,good service 
551,5,These people just dont want to read the cooking instructions… i clearly mentioned not to add beetroot but still they added lot of beetroot i had to throw away the food
552,5,Quality and quantity is best
553,4,supar fst 
554,1,"pathetic,  sry to say but very poor quality for the price , not acceptable.. "
555,5,They didn’t put spoon how do someone eat without a spoon
556,1,Thank you for delivering 🙂🙂
557,5,no quality 
558,4,Cooking instructions was not followed.
559,5,test bekar hai 
560,5,Food was fantastic
561,5,nyc taste
562,1,delicious food 😋
563,2,jala hua chicken diya
564,3,I want to just add that the delivery was a little late than expected 
565,4,Why are you guys not making food as per instruction….
566,4,Very oily
567,1,The chicken leg was so bad and stale<br/>The taste was so dirty <br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/><br/>Dont give you customers like this<br/>
568,3,bad experience 
569,4,very yummy and tasty food
570,2,only agg added no chicken qty as per price 
571,5,good person 
572,5,very good 
573,2,"ORDER WAS NOT SENT PROPERLY, GREEN CHICKEN WAS ORDER IN BONELESS BUT THEY DELIVERED IN BONE, VERY CARELESS AND BAD, ALSO TOLD TO MAKE IN LESS OIL BUT THEY ALSO DON'T FOLLOW THE INSTRUCTIONS."
574,2,.
575,5,👍
576,5,hello team zomato we had order special tiranga and we received tandoori leg pice as you seen in photo we attached we want our money of specail tirnaga back as they send us wrong order please do the need full as soon as possible thank you!
577,5,quantity of bheja fry is very less
578,5,smooth delivery.
579,4,Worest seervice
580,1,nice wow
581,5,"also when I called restaurant they said Bhai aap Chala lo, really pathetic experience "
582,2,अदभुत । delicious 
583,1,very good tats
584,5,Very bad and no taste..very low Quantity and very high price ..bad experince cheap
585,1,no paper dish 
586,5,nice taste 
587,5,chicken me bone less jyada tha... bone wala hona cahiye
588,5,Lassi was missing in the order
589,4,✌️
590,1,kadi instead of lasaniya bateka
591,4,tasty food
592,2,"One item is shorted , churmu is not there"
593,5,"Taste was alright, but it was too oily. I am talking big oil patches floating over. Unappetizing and unhealthy."
594,1,no onion in the parcel ....The Ffood is very cold ...smell is very bad ..
595,1,All items were not hot it was cold. Next time think twice to order.
596,5,the quantity of oil should be proportionate. the veggies were too oily 
597,5,awesome taste
598,1,very good fast delivery
599,3,good food
600,3,not good 
601,5,"Mene gujarati thali mangvai thi, just thodi der pehle, 238 ki thali and chota bachha bhi na kha paye itne kum quantity thi, rice to itna kum tha ki sharm ane lagi, subji me only ek chota potato ka peace tha wo bhi bharpur oil, bhaio ek vinanti hai k aap log reviews dekh k hi order kare."
602,3,midiyam
603,3,Oily tha zyada despite instructions given while meal booking. keep it less.
604,1,Food was very good and tasty.
605,4,not tasty food
606,1,very very bed quelity food
607,5,incomplite order Chass was Missing and Charge for It
608,1,Good test. Appreciate.
609,3,very bad taste and they gave us stale food
610,3,check Karke Bhejo Sir 
611,1,sweet missing only free sweet send
612,5,Worst food.  Tasteless and oily.
613,1,good 
614,1,Excellent food
615,4,bekar
616,1,👌
617,5,great
618,5, I order food because of that offer.  But it was not fit to eat.🤮
619,1,taste good but garam nahi tha 
620,2,don
621,5,Best Food 
622,1,Strange taste
623,5,Did not follow instructions
624,4,Excellent ghar jaisa taste
625,5,"food is totally mess up inside the polybag , how could eat such type of food "
626,5,Always fresh food
627,5,Good food excellent taste 
628,5,corns in sabji is not fresh at all
629,5,overall it was good but for dal we have asked for jain and came regularly Please be careful next time.
630,4,worst pannir out dated .never ever visit this type of restaurant. or even don't oder from there 
631,2,Not like the original taste of Royal dine 
632,4,good
633,4,Uttpa pura jala huaa<br/>Sada dosa keasi se bhi nahi kata.veri bad test .west manny .sab fakna pada.pesa west
634,1,i don't like your delivery system 😠<br/>fore restaurant...
635,3,feel like old bread
636,1,sambar me salt jyada tha aur dosa toh bohat salted bana diya not good taste 
637,4,BEST 
638,1," Shambhar, it was like additional salt and lime added.. "
639,5,Food was not up to mark  &amp; also restaurant  didn't  sent cutlery &amp; delivery was also delayed so I want to give negative star &amp; please don't register such type of restaurant on your platform . Thanks 
640,2,not spuan and not plat
641,5,cheat on me item are missing I need money back
642,1,not a on time delivery 
643,3,bekar peking bekar food manny west
644,5,i already told that send Manchurian with 3-4 spoon<br/>but resturant sens food without any spoon.<br/><br/><br/><br/>back my money
645,1,So Bad Test Don't Order To This Restorent
646,1,I forgot the number of time I ordered from here.<br/>Every time same taste and quality.
647,5,Mast
648,5,good and humble person 
649,5,testy and healthy 
650,1,the order took more than one hour to reach us
651,5,"they are totaly irresponsible <br/>how can any one eat bhaji without pav,they send bhaji but not pav"
652,2,I don't like this items 
653,3,oder late food is bad my money back guarantee dijiye please 
654,2,quantity sahi nahi he 
655,5,not good taste at all it like they just did a basic pepper tadka and while eating the garlic busted in my mouth which makes me spit the food and the vegetables are raw as hell its like eating noodles with just raw veggies and pepper tadka no salt and no taste
656,1,Thanks for considering my request of providing separate containers of sambhar-chatni <br/>for each dosa
657,5,good 
658,1,didn't follow instructions which I gave
659,1,thanks 
660,1,good taste 
661,5,testy but quantity poor
662,5,Gulab Jamun Not Received
663,5,not chhachh- gulab jamun not good service
664,5,no test bad quality
665,5,I ordered special deluxe from this outlet..thali was good. Amazing service...... Keep up the good work always guys... <br/><br/><br/>
666,5,order is not properly and quantity is very lo (cutting)
667,4,Dal fry jeera rice must try here.. awesome taste.. delivery service very fast.. highly recommended to everyone 👍
668,3,Yesterday i ordered food.. its was yummy taste.. Delivery service very fast.. Food was awesome.. highly recommended 
669,3,Try kaju butter masala very good taste... very good service.. <br/>Very tasty and hygenic food... My experience was good 👍 
