restaurant_id,average_cost_for_two,user_rating
117,338,3.9
118,2725,3.7
119,2963,3.8
120,706,4.6
121,1304,4.4
122,1932,4.7
123,497,3.0
124,892,4.9
125,2428,2.9
126,1482,3.4
127,1348,4.4
128,1493,2.7
129,682,3.7
130,1227,4.8
131,1304,2.7
132,552,2.5
133,2525,4.7
134,342,5.0
135,647,3.6
136,1619,4.1
137,1962,2.9
138,2014,4.2
139,455,3.7
140,1515,5.0
141,2951,3.4
142,662,4.6
143,2815,4.3
144,2463,4.5
145,683,2.6
146,1177,4.6
147,831,5.0
148,2556,4.1
149,1442,3.4
150,2703,3.0
151,2020,5.0
152,1071,4.8
153,1679,2.8
154,2502,2.7
155,2944,3.2
156,2258,3.6
157,1130,3.8
158,1594,3.0
159,2457,4.4
160,2647,4.6
161,1027,4.5
162,1084,3.3
163,2893,2.8
164,399,4.9
165,1600,4.1
166,1666,2.9
167,2792,4.9
168,451,4.9
169,2584,3.8
170,2393,4.1
171,742,3.4
172,1402,3.7
173,1157,4.2
174,961,4.0
175,2922,3.9
176,1347,2.6
177,1884,4.2
178,788,2.7
179,603,4.8
180,1467,4.0
181,856,4.6
182,2589,3.3
183,2540,3.6
184,649,2.9
185,2701,2.5
186,1639,4.6
187,451,3.5
188,1537,4.4
189,1293,2.7
190,2637,2.7
191,879,4.7
192,1628,4.1
193,1227,3.3
194,2825,3.1
195,520,3.1
196,2596,4.4
197,369,3.4
198,2219,3.4
199,936,3.2
200,2357,4.8
201,1109,4.6
202,2719,3.1
203,1069,3.4
204,594,3.3
205,2157,4.5
206,2405,4.4
207,2965,2.5
208,443,3.8
209,807,3.6
210,1445,4.0
211,2926,4.9
212,2389,4.9
213,1328,3.4
214,1527,2.6
215,1849,4.2
216,655,3.8
217,649,4.0
218,2187,4.8
219,1566,3.8
220,1198,2.8
221,1306,3.7
222,1261,4.4
223,2003,4.8
224,451,2.8
225,2619,3.3
226,1272,3.9
227,442,4.3
228,989,3.3
229,609,3.3
230,2455,2.7
231,2203,3.7
232,2465,5.0
233,932,3.4
234,1827,4.0
235,1827,4.0
236,511,2.6
237,2644,3.9
238,2024,4.1
239,2620,3.3
240,687,4.0
241,2700,2.5
242,706,2.8
243,564,3.5
244,1901,4.5
245,2459,4.9
246,1266,4.5
247,1173,3.1
248,2700,2.9
249,396,3.3
250,2856,3.2
251,1283,3.1
252,2795,3.8
253,1977,2.6
254,2839,4.3
255,1846,3.5
256,1958,4.6
257,2416,3.0
258,2070,4.4
259,2393,4.6
260,1983,3.3
261,2939,3.8
262,1850,2.9
263,2860,3.0
264,1163,4.1
265,2283,3.0
266,2102,4.3
267,1703,4.1
268,1280,4.2
269,1789,4.5
270,1082,3.0
271,1753,4.0
272,2232,4.8
273,701,3.3
274,1267,4.5
275,1231,4.1
276,1409,4.0
277,603,2.8
278,2650,3.2
279,786,4.5
280,1952,2.9
281,1332,4.7
282,621,4.0
283,1809,4.1
284,2992,3.7
285,1720,4.3
286,1128,3.7
287,697,5.0
288,721,3.3
289,1206,2.5
290,2196,3.1
291,1863,4.2
292,2186,3.8
293,2412,3.9
294,1159,4.0
295,2085,3.1
296,2519,3.9
297,2618,3.9
298,2018,2.7
299,1621,4.3
300,2292,2.7
301,551,3.2
302,1703,4.3
303,1626,4.8
304,2646,2.6
305,353,4.4
306,2629,3.2
307,1749,3.3
308,1291,4.0
309,2904,3.9
310,548,4.1
311,1808,2.7
312,1551,4.4
313,1944,4.1
314,524,4.8
315,2601,3.9
316,1523,3.0
317,680,4.2
318,2723,3.4
319,1019,3.1
320,1761,3.6
321,396,2.7
322,1834,3.9
323,2033,2.9
324,1429,3.9
325,584,4.7
326,468,4.4
327,2465,3.9
328,1625,4.7
329,2155,2.8
330,2864,3.0
331,2404,2.8
332,2585,4.5
333,1962,3.0
334,1712,4.3
335,2232,4.4
336,2930,3.2
337,2189,3.2
338,1438,3.2
339,1988,4.0
340,1243,3.5
341,2188,3.6
342,2939,4.9
343,922,4.7
344,1932,2.6
345,2505,3.3
346,793,2.9
347,865,4.5
348,2013,4.1
349,2512,3.4
350,1902,5.0
351,2341,3.3
352,2575,3.9
353,2048,3.0
354,817,3.3
355,1940,4.4
356,1770,2.8
357,2596,2.7
358,2692,3.6
359,1976,3.7
360,2746,3.1
361,1684,2.8
362,2859,4.5
363,1651,2.6
364,434,4.7
365,1206,4.4
366,2436,3.0
367,1497,3.5
368,470,4.2
369,1802,4.3
370,412,4.0
371,1399,2.9
372,1001,3.4
373,2493,4.4
374,2542,4.2
375,2296,2.7
376,2864,2.6
377,1985,3.3
378,995,3.4
379,1806,4.2
380,2437,4.1
381,2150,4.3
382,1504,3.4
383,585,3.3
384,2665,2.7
385,1074,4.0
386,1549,4.9
387,940,4.4
388,1098,4.2
389,2084,3.0
390,822,2.8
391,2400,4.7
392,465,4.3
393,1541,3.9
394,981,4.5
395,921,2.8
396,2638,2.7
397,737,2.9
398,1981,2.9
399,1041,3.5
400,2490,4.0
401,2188,3.6
402,932,2.6
403,592,3.9
404,1141,3.8
405,2234,2.8
406,2824,4.3
407,2700,3.6
408,1184,3.3
409,1347,3.7
410,1121,4.8
411,2907,4.3
412,1900,2.9
413,1234,4.1
414,869,3.1
415,1549,4.4
416,647,4.8
417,2490,2.6
418,876,3.3
419,1074,4.5
420,1747,3.9
421,2525,3.1
422,2803,4.1
423,2118,4.3
424,2367,2.6
425,2182,3.9
426,2720,4.9
427,1209,4.4
428,2541,3.6
429,1584,4.9
430,2547,4.7
431,383,3.5
432,2476,3.3
433,596,3.2
434,2709,2.7
435,668,4.6
436,2241,2.8
437,1156,3.9
438,893,4.7
439,1709,3.0
440,2616,3.4
441,892,4.3
442,2568,3.5
443,2327,3.3
444,1049,4.1
445,983,3.4
446,506,3.2
447,1591,2.6
448,1857,2.6
449,2191,4.6
450,2960,2.9
451,2006,3.1
452,2929,3.0
453,1530,3.1
454,750,4.3
455,366,4.8
456,2513,2.8
457,2459,4.3
458,2644,4.9
459,1552,4.3
460,479,4.3
461,802,3.4
462,2734,4.2
463,1714,3.4
464,1955,4.3
465,1320,3.0
466,783,3.5
467,1485,3.8
468,1206,3.4
469,431,4.1
470,1313,3.3
471,1065,3.3
472,1377,2.8
473,2649,4.8
474,1110,4.5
475,322,4.5
476,2076,4.1
477,818,3.5
478,1615,3.2
479,2365,3.9
480,2639,3.4
481,1472,3.7
482,1045,3.0
483,2752,2.7
484,345,5.0
485,2819,4.6
486,1880,4.3
487,1129,2.9
488,2390,4.7
489,1354,2.8
490,1929,2.9
491,1215,4.7
492,2740,2.8
493,469,3.3
494,2237,4.0
495,930,4.1
496,2551,4.7
497,884,4.8
498,1295,2.8
499,911,4.3
500,1059,4.1
