Restaurant_Name,Order_Date,Item_Name,Order_Value_INR
Curry House,2026-08-15,Cheeseburger,699.61
Curry House,2026-08-25,Margherita Pizza,172.68
Pizza Paradise,2026-09-01,Tacos,804.17
Pasta Express,2026-08-29,Cheeseburger,1066.26
Biryani Central,2026-09-14,Pad Thai,483.49
Steak Out,2026-08-29,Chocolate Cake,978.91
Spice Village,2026-07-03,California Roll,833.63
Sweet Cravings,2026-06-24,Cheeseburger,928.5
Burger Hub,2026-09-07,Cheeseburger,772.89
Noodle Corner,2026-09-07,Tacos,722.17
The Kebab Shop,2026-07-02,Paneer Butter Masala,744.75
Bake & Cake,2026-07-04,Chicken Biryani,563.49
Taco Fiesta,2026-08-09,Chocolate Cake,604.04
Vegan Bites,2026-08-03,Caesar Salad,802.2
Sushi Rollers,2026-07-12,Chocolate Cake,627.45
Sweet Cravings,2026-06-25,California Roll,283.05
Sweet Cravings,2026-09-18,Paneer Butter Masala,267.58
Dim Sum Delight,2026-07-05,Chocolate Cake,342.7
Grill Master,2026-07-15,California Roll,338.76
Midnight Munchies,2026-09-13,Pad Thai,637.28
Burger Hub,2026-09-01,Mutton Kebab,797.41
Curry House,2026-07-05,Pad Thai,912.06
Breakfast Club,2026-08-24,Chicken Biryani,262.81
Biryani Central,2026-08-05,Tacos,491.86
The Kebab Shop,2026-09-10,Chicken Biryani,1145.21
Bake & Cake,2026-07-23,California Roll,487.38
Sweet Cravings,2026-09-18,Margherita Pizza,996.07
Spice Village,2026-08-29,Mutton Kebab,869.94
Sushi Rollers,2026-07-12,Caesar Salad,864.53
Wok This Way,2026-07-02,Chocolate Cake,798.75
Dim Sum Delight,2026-07-30,California Roll,771.97
Pasta Express,2026-06-22,Caesar Salad,612.71
Healthy Greens,2026-06-22,Margherita Pizza,1074.08
Spice Village,2026-09-04,Chocolate Cake,614.59
Midnight Munchies,2026-09-15,Paneer Butter Masala,154.81
Grill Master,2026-08-04,Margherita Pizza,633.76
Biryani Central,2026-07-25,Mutton Kebab,1190.26
Midnight Munchies,2026-09-08,Margherita Pizza,411.85
Pasta Express,2026-08-23,California Roll,1014.5
Wok This Way,2026-06-29,Chocolate Cake,731.73
Bake & Cake,2026-08-23,Cheeseburger,417.23
Dim Sum Delight,2026-07-30,Margherita Pizza,728.03
Pizza Paradise,2026-09-02,Margherita Pizza,618.6
Bake & Cake,2026-08-13,Pad Thai,1102.76
Dim Sum Delight,2026-08-16,Tacos,424.66
The Kebab Shop,2026-08-31,Chicken Biryani,1154.69
Grill Master,2026-07-14,Chicken Biryani,1055.28
Steak Out,2026-08-03,Tacos,780.55
Grill Master,2026-09-18,Chicken Biryani,763.03
Dim Sum Delight,2026-09-07,California Roll,316.68
Burger Hub,2026-08-12,California Roll,541.72
Bake & Cake,2026-07-13,Margherita Pizza,995.79
Vegan Bites,2026-08-26,Caesar Salad,1108.75
Sushi Rollers,2026-08-28,Caesar Salad,599.72
Pasta Express,2026-07-02,Paneer Butter Masala,327.25
Healthy Greens,2026-08-24,California Roll,1132.65
Healthy Greens,2026-08-14,Cheeseburger,1170.96
Dim Sum Delight,2026-07-17,California Roll,1095.22
Wok This Way,2026-08-04,Margherita Pizza,1159.85
Pasta Express,2026-08-03,Margherita Pizza,1195.57
Healthy Greens,2026-07-15,Pad Thai,421.25
Spice Village,2026-07-10,Paneer Butter Masala,590.27
Burger Hub,2026-07-15,Margherita Pizza,780.18
Breakfast Club,2026-09-05,Margherita Pizza,567.33
Vegan Bites,2026-09-17,Mutton Kebab,1074.76
Grill Master,2026-09-01,Mutton Kebab,739.79
Taco Fiesta,2026-07-22,Mutton Kebab,621.72
Bake & Cake,2026-07-08,California Roll,359.12
Sweet Cravings,2026-08-01,Tacos,164.92
The Kebab Shop,2026-09-17,Pad Thai,376.6
Burger Hub,2026-08-05,Mutton Kebab,187.97
Spice Village,2026-08-18,Mutton Kebab,962.23
Breakfast Club,2026-09-11,Chicken Biryani,955.77
Midnight Munchies,2026-08-02,Pad Thai,191.72
Burger Hub,2026-06-28,Pad Thai,711.43
Grill Master,2026-07-21,Margherita Pizza,163.58
Noodle Corner,2026-09-10,Margherita Pizza,223.82
Grill Master,2026-07-11,Caesar Salad,942.91
Pasta Express,2026-07-19,Mutton Kebab,1177.05
The Kebab Shop,2026-09-03,Caesar Salad,738.36
The Kebab Shop,2026-06-22,Tacos,695.06
Sweet Cravings,2026-09-03,California Roll,823.54
Healthy Greens,2026-07-21,Caesar Salad,314.91
Sweet Cravings,2026-07-08,Mutton Kebab,689.7
The Kebab Shop,2026-09-15,Paneer Butter Masala,839.24
Biryani Central,2026-09-16,Chocolate Cake,1149.26
Midnight Munchies,2026-09-14,Cheeseburger,1096.71
Sushi Rollers,2026-07-12,Margherita Pizza,339.26
Biryani Central,2026-07-07,Chocolate Cake,164.16
Sweet Cravings,2026-09-06,Mutton Kebab,200.99
The Kebab Shop,2026-09-14,Pad Thai,236.65
Healthy Greens,2026-09-12,Chocolate Cake,359.56
Taco Fiesta,2026-08-07,Cheeseburger,887.45
Pizza Paradise,2026-08-22,Margherita Pizza,628.95
Pasta Express,2026-07-08,Mutton Kebab,334.18
Dim Sum Delight,2026-09-10,Paneer Butter Masala,672.29
Midnight Munchies,2026-08-26,Mutton Kebab,775.17
Midnight Munchies,2026-09-12,Chocolate Cake,222.16
Dim Sum Delight,2026-08-07,Chicken Biryani,200.04
Steak Out,2026-07-08,Cheeseburger,824.67
Curry House,2026-07-07,Caesar Salad,583.41
Pizza Paradise,2026-08-04,Caesar Salad,436.36
Spice Village,2026-08-19,Margherita Pizza,535.1
Spice Village,2026-06-22,Chicken Biryani,294.34
Midnight Munchies,2026-08-31,Margherita Pizza,852.89
Taco Fiesta,2026-07-07,Cheeseburger,520.18
Taco Fiesta,2026-07-12,Chocolate Cake,213.79
Healthy Greens,2026-08-08,Cheeseburger,1135.12
Burger Hub,2026-07-05,Chocolate Cake,655.22
Steak Out,2026-07-24,Pad Thai,239.49
Bake & Cake,2026-08-24,Mutton Kebab,782.63
Taco Fiesta,2026-08-28,Pad Thai,926.58
Noodle Corner,2026-07-25,Chicken Biryani,297.38
Steak Out,2026-07-17,Chocolate Cake,287.21
Pasta Express,2026-07-21,Pad Thai,1198.71
Steak Out,2026-09-17,Tacos,180.89
Biryani Central,2026-08-14,Paneer Butter Masala,734.02
Bake & Cake,2026-09-06,Tacos,861.55
The Kebab Shop,2026-09-01,Margherita Pizza,833.03
Burger Hub,2026-07-29,Pad Thai,730.6
Sweet Cravings,2026-07-23,Paneer Butter Masala,1124.09
Sweet Cravings,2026-08-03,Pad Thai,811.65
The Kebab Shop,2026-09-17,Pad Thai,376.6
Bake & Cake,2026-08-14,Paneer Butter Masala,972.46
Healthy Greens,2026-08-25,Margherita Pizza,442.45
Taco Fiesta,2026-08-11,Chocolate Cake,514.7
Grill Master,2026-07-04,Tacos,329.44
Spice Village,2026-07-29,Chicken Biryani,1147.03
Burger Hub,2026-07-08,Chicken Biryani,930.0
Noodle Corner,2026-08-17,California Roll,1062.95
Biryani Central,2026-07-29,Chicken Biryani,972.63
Bake & Cake,2026-07-29,Caesar Salad,565.5
Steak Out,2026-08-19,Caesar Salad,169.82
Sweet Cravings,2026-07-19,Tacos,957.55
Dim Sum Delight,2026-07-19,Tacos,341.2
Steak Out,2026-07-13,Caesar Salad,272.52
Spice Village,2026-08-21,Mutton Kebab,218.8
The Kebab Shop,2026-08-20,Cheeseburger,937.46
Biryani Central,2026-08-02,Caesar Salad,968.15
Biryani Central,2026-08-24,Margherita Pizza,475.44
Breakfast Club,2026-07-03,Margherita Pizza,352.68
Sushi Rollers,2026-09-17,Paneer Butter Masala,905.47
Spice Village,2026-07-20,Paneer Butter Masala,585.81
Dim Sum Delight,2026-07-29,California Roll,613.25
Taco Fiesta,2026-06-20,California Roll,353.88
Grill Master,2026-07-16,Chocolate Cake,951.69
Steak Out,2026-06-29,Mutton Kebab,943.82
Noodle Corner,2026-07-08,Tacos,1110.36
Healthy Greens,2026-06-30,Paneer Butter Masala,458.41
Grill Master,2026-09-08,Pad Thai,858.96
Bake & Cake,2026-08-29,Chicken Biryani,1100.99
Noodle Corner,2026-07-30,Margherita Pizza,847.79
Steak Out,2026-06-30,Mutton Kebab,762.67
Curry House,2026-06-29,Tacos,945.78
Pizza Paradise,2026-08-28,Mutton Kebab,1119.07
Healthy Greens,2026-06-22,Chicken Biryani,738.07
Sushi Rollers,2026-09-02,Tacos,1145.96
Curry House,2026-08-30,Caesar Salad,601.85
Sweet Cravings,2026-08-15,Margherita Pizza,1117.41
Healthy Greens,2026-09-05,Margherita Pizza,710.73
Sushi Rollers,2026-09-12,Margherita Pizza,906.77
Dim Sum Delight,2026-09-12,Tacos,1001.62
Biryani Central,2026-08-20,California Roll,453.79
Burger Hub,2026-08-30,Caesar Salad,582.76
Curry House,2026-09-18,Chicken Biryani,755.59
Curry House,2026-09-13,Caesar Salad,444.45
Vegan Bites,2026-08-14,Chocolate Cake,959.81
Steak Out,2026-09-09,California Roll,185.91
Pizza Paradise,2026-08-30,Pad Thai,1069.44
Pizza Paradise,2026-08-17,California Roll,976.01
Healthy Greens,2026-07-21,Paneer Butter Masala,511.55
Noodle Corner,2026-09-16,Margherita Pizza,1004.24
Burger Hub,2026-09-18,Caesar Salad,622.32
Taco Fiesta,2026-08-12,Tacos,398.17
Grill Master,2026-07-13,Chicken Biryani,601.13
Taco Fiesta,2026-09-11,Pad Thai,415.74
Vegan Bites,2026-07-17,Chocolate Cake,1003.88
Burger Hub,2026-07-21,Caesar Salad,203.89
Bake & Cake,2026-07-09,Paneer Butter Masala,911.11
Midnight Munchies,2026-07-24,Caesar Salad,929.14
Vegan Bites,2026-08-19,California Roll,758.86
Wok This Way,2026-06-29,California Roll,1054.25
Dim Sum Delight,2026-06-25,Mutton Kebab,926.23
The Kebab Shop,2026-09-15,Paneer Butter Masala,839.24
Breakfast Club,2026-06-25,Pad Thai,737.76
Sweet Cravings,2026-08-04,Paneer Butter Masala,1039.64
Wok This Way,2026-08-03,Caesar Salad,961.7
Steak Out,2026-08-11,Chicken Biryani,869.86
Bake & Cake,2026-08-12,Chocolate Cake,976.17
Midnight Munchies,2026-08-26,Mutton Kebab,996.91
Sweet Cravings,2026-06-29,Caesar Salad,288.84
Pizza Paradise,2026-08-10,Chicken Biryani,1177.59
Midnight Munchies,2026-06-30,Margherita Pizza,938.38
Dim Sum Delight,2026-06-26,Mutton Kebab,875.04
Pasta Express,2026-08-02,Margherita Pizza,819.24
Spice Village,2026-08-19,Pad Thai,276.71
Curry House,2026-09-16,Margherita Pizza,704.88
Biryani Central,2026-09-14,Margherita Pizza,616.12
Bake & Cake,2026-09-18,Chicken Biryani,966.62
Dim Sum Delight,2026-06-26,Pad Thai,870.76
Wok This Way,2026-08-13,Pad Thai,1056.35
Spice Village,2026-08-19,Mutton Kebab,651.7
Curry House,2026-07-06,Cheeseburger,801.31
Noodle Corner,2026-09-06,Chocolate Cake,206.73
Spice Village,2026-08-12,Caesar Salad,1106.1
Burger Hub,2026-07-14,Chocolate Cake,1180.89
Grill Master,2026-08-17,Margherita Pizza,782.11
Burger Hub,2026-08-12,Mutton Kebab,1084.12
Vegan Bites,2026-09-09,Chocolate Cake,496.92
Breakfast Club,2026-09-04,Tacos,822.99
Sushi Rollers,2026-08-12,California Roll,1158.55
Sushi Rollers,2026-08-03,Cheeseburger,1158.52
Biryani Central,2026-09-09,Cheeseburger,557.61
The Kebab Shop,2026-09-15,California Roll,152.34
Midnight Munchies,2026-08-25,Mutton Kebab,385.42
Healthy Greens,2026-07-11,Margherita Pizza,617.46
Curry House,2026-07-03,Tacos,783.61
Dim Sum Delight,2026-07-24,Pad Thai,1027.72
Curry House,2026-07-25,Chicken Biryani,723.36
Taco Fiesta,2026-09-15,California Roll,358.74
Burger Hub,2026-08-13,Cheeseburger,749.84
Healthy Greens,2026-07-24,California Roll,566.76
Taco Fiesta,2026-09-01,Cheeseburger,824.76
Biryani Central,2026-07-17,Mutton Kebab,1170.49
Bake & Cake,2026-08-24,Margherita Pizza,1058.32
Noodle Corner,2026-06-26,Cheeseburger,996.8
Dim Sum Delight,2026-07-04,Chocolate Cake,1042.05
Noodle Corner,2026-08-23,Chicken Biryani,579.2
Steak Out,2026-08-18,Chicken Biryani,780.59
Steak Out,2026-07-27,Cheeseburger,787.96
Spice Village,2026-08-30,California Roll,1081.92
Noodle Corner,2026-08-28,Margherita Pizza,769.14
Healthy Greens,2026-06-21,California Roll,260.73
Vegan Bites,2026-08-16,California Roll,860.72
Grill Master,2026-08-27,California Roll,901.57
Bake & Cake,2026-06-28,Cheeseburger,990.43
Dim Sum Delight,2026-07-28,Caesar Salad,287.98
Healthy Greens,2026-07-08,Paneer Butter Masala,1040.18
Sweet Cravings,2026-09-15,Tacos,932.21
Spice Village,2026-07-08,Mutton Kebab,422.12
Vegan Bites,2026-08-23,Paneer Butter Masala,207.93
Breakfast Club,2026-08-13,Mutton Kebab,466.88
Curry House,2026-08-29,Tacos,882.83
Midnight Munchies,2026-07-30,Cheeseburger,1030.86
Biryani Central,2026-08-21,Cheeseburger,233.13
Healthy Greens,2026-07-06,Chicken Biryani,313.56
The Kebab Shop,2026-06-30,Caesar Salad,811.54
Dim Sum Delight,2026-07-15,Cheeseburger,387.91
Pizza Paradise,2026-08-20,Tacos,718.14
Vegan Bites,2026-07-17,Mutton Kebab,1009.88
Wok This Way,2026-08-16,Mutton Kebab,801.21
Midnight Munchies,2026-09-16,Mutton Kebab,304.92
Midnight Munchies,2026-07-07,California Roll,217.16
Steak Out,2026-06-28,Pad Thai,685.47
Noodle Corner,2026-08-08,Paneer Butter Masala,949.38
Wok This Way,2026-09-09,Chicken Biryani,508.23
Wok This Way,2026-06-23,Tacos,726.57
Bake & Cake,2026-08-12,Margherita Pizza,441.71
Sweet Cravings,2026-07-30,Pad Thai,572.94
Burger Hub,2026-08-09,Chicken Biryani,624.47
Spice Village,2026-06-20,California Roll,206.57
Dim Sum Delight,2026-08-07,Mutton Kebab,894.87
Burger Hub,2026-07-16,Chocolate Cake,418.65
Wok This Way,2026-08-16,Chocolate Cake,768.5
Grill Master,2026-07-02,Pad Thai,804.91
Midnight Munchies,2026-06-25,Caesar Salad,686.3
Biryani Central,2026-08-09,Cheeseburger,927.94
Wok This Way,2026-08-11,Paneer Butter Masala,874.65
Pasta Express,2026-08-23,California Roll,1014.5
Bake & Cake,2026-08-09,Caesar Salad,213.47
Dim Sum Delight,2026-08-17,Chicken Biryani,754.99
Curry House,2026-09-06,Cheeseburger,1068.79
Bake & Cake,2026-07-08,Chocolate Cake,417.55
Vegan Bites,2026-07-25,Cheeseburger,292.07
Pasta Express,2026-07-31,Chicken Biryani,884.72
Burger Hub,2026-08-31,Cheeseburger,781.0
Pizza Paradise,2026-07-02,Mutton Kebab,1132.47
Healthy Greens,2026-09-03,Mutton Kebab,705.39
Sweet Cravings,2026-08-02,Cheeseburger,574.02
The Kebab Shop,2026-08-23,Pad Thai,904.26
Biryani Central,2026-08-17,Chicken Biryani,1112.42
Curry House,2026-08-31,Chocolate Cake,835.39
Breakfast Club,2026-07-18,Chocolate Cake,1101.73
Breakfast Club,2026-07-23,Paneer Butter Masala,244.87
Dim Sum Delight,2026-08-09,Tacos,908.47
Pizza Paradise,2026-09-10,Pad Thai,599.26
Burger Hub,2026-07-10,Margherita Pizza,1063.79
Pizza Paradise,2026-08-22,California Roll,225.83
Steak Out,2026-08-22,Chocolate Cake,1003.22
Sweet Cravings,2026-06-29,Pad Thai,611.86
Wok This Way,2026-08-16,Paneer Butter Masala,181.88
Vegan Bites,2026-08-23,Pad Thai,1036.53
Sweet Cravings,2026-08-11,Cheeseburger,900.36
Steak Out,2026-08-01,California Roll,856.34
Pizza Paradise,2026-09-10,Pad Thai,1042.86
Dim Sum Delight,2026-07-01,Margherita Pizza,212.44
Noodle Corner,2026-08-14,Chicken Biryani,939.25
Vegan Bites,2026-07-05,Pad Thai,868.2
Wok This Way,2026-07-02,Chocolate Cake,731.31
Curry House,2026-09-02,California Roll,274.11
Midnight Munchies,2026-08-01,Caesar Salad,842.24
Noodle Corner,2026-09-07,Tacos,338.75
Noodle Corner,2026-07-15,California Roll,1188.41
Sushi Rollers,2026-08-25,Paneer Butter Masala,304.64
Breakfast Club,2026-09-06,Pad Thai,974.82
Pasta Express,2026-07-22,Mutton Kebab,157.9
Sweet Cravings,2026-07-30,Mutton Kebab,695.65
Biryani Central,2026-07-12,Margherita Pizza,599.35
Midnight Munchies,2026-09-11,Tacos,908.8
Grill Master,2026-09-15,California Roll,570.37
Vegan Bites,2026-07-21,Caesar Salad,1118.24
Bake & Cake,2026-09-09,Mutton Kebab,323.52
Spice Village,2026-08-11,Cheeseburger,401.85
Breakfast Club,2026-08-18,Margherita Pizza,846.11
Wok This Way,2026-09-03,Margherita Pizza,1001.91
Healthy Greens,2026-09-11,Caesar Salad,721.27
Taco Fiesta,2026-08-14,Chicken Biryani,194.91
Breakfast Club,2026-06-27,Chocolate Cake,846.77
Burger Hub,2026-07-04,Paneer Butter Masala,522.28
Taco Fiesta,2026-07-13,Margherita Pizza,303.48
Dim Sum Delight,2026-09-02,Chicken Biryani,501.15
Vegan Bites,2026-07-13,Mutton Kebab,763.23
Grill Master,2026-09-09,Tacos,955.84
Taco Fiesta,2026-08-19,Margherita Pizza,235.1
Grill Master,2026-09-04,Chocolate Cake,821.03
Pasta Express,2026-08-13,Margherita Pizza,794.32
Sweet Cravings,2026-08-16,Tacos,438.29
Breakfast Club,2026-08-22,Paneer Butter Masala,1160.01
Sweet Cravings,2026-07-14,Pad Thai,727.52
Sweet Cravings,2026-08-25,Paneer Butter Masala,951.92
Grill Master,2026-08-28,Chicken Biryani,425.64
Grill Master,2026-09-10,California Roll,908.27
Healthy Greens,2026-07-21,Tacos,1158.39
The Kebab Shop,2026-08-02,California Roll,831.18
The Kebab Shop,2026-08-01,California Roll,843.92
Pizza Paradise,2026-08-10,Chicken Biryani,1036.01
Burger Hub,2026-07-22,Mutton Kebab,898.73
Dim Sum Delight,2026-08-17,Margherita Pizza,589.28
Dim Sum Delight,2026-08-12,Paneer Butter Masala,967.64
Sweet Cravings,2026-06-25,Paneer Butter Masala,279.67
Taco Fiesta,2026-09-13,Chicken Biryani,778.44
Pizza Paradise,2026-09-15,Chocolate Cake,220.39
Bake & Cake,2026-07-10,California Roll,477.91
Sweet Cravings,2026-09-07,Paneer Butter Masala,966.25
Curry House,2026-07-02,Chocolate Cake,438.92
Sweet Cravings,2026-06-30,Pad Thai,751.14
Taco Fiesta,2026-08-05,Margherita Pizza,893.64
Grill Master,2026-08-05,Caesar Salad,596.07
Sweet Cravings,2026-09-08,California Roll,480.87
Midnight Munchies,2026-07-21,Chocolate Cake,851.76
Breakfast Club,2026-09-02,Margherita Pizza,808.6
Wok This Way,2026-08-16,Mutton Kebab,801.21
The Kebab Shop,2026-08-12,Chicken Biryani,558.91
Curry House,2026-07-05,Pad Thai,988.33
Curry House,2026-07-02,California Roll,437.86
Healthy Greens,2026-07-20,Margherita Pizza,838.13
Healthy Greens,2026-06-21,Chocolate Cake,438.86
Sweet Cravings,2026-08-15,Paneer Butter Masala,1011.06
Sweet Cravings,2026-08-14,Mutton Kebab,626.19
Curry House,2026-08-10,Cheeseburger,415.05
Burger Hub,2026-07-08,Caesar Salad,980.47
Sweet Cravings,2026-09-17,Chocolate Cake,990.82
Curry House,2026-09-02,Pad Thai,746.2
Breakfast Club,2026-06-28,Tacos,1050.72
Taco Fiesta,2026-08-20,Mutton Kebab,210.82
Grill Master,2026-09-15,Tacos,218.34
Breakfast Club,2026-07-06,Chocolate Cake,539.58
Steak Out,2026-09-04,Pad Thai,909.34
Healthy Greens,2026-07-10,Paneer Butter Masala,367.41
Burger Hub,2026-09-03,Pad Thai,428.23
Bake & Cake,2026-08-22,Mutton Kebab,1036.88
Pizza Paradise,2026-08-31,Paneer Butter Masala,1112.02
Steak Out,2026-08-11,Pad Thai,287.39
Bake & Cake,2026-06-27,Tacos,416.81
Wok This Way,2026-07-30,Caesar Salad,280.15
Pasta Express,2026-07-31,Caesar Salad,669.4
Biryani Central,2026-08-08,Mutton Kebab,1153.74
Wok This Way,2026-07-27,Tacos,316.74
Wok This Way,2026-07-21,Tacos,502.01
Taco Fiesta,2026-09-13,Chicken Biryani,778.44
Sweet Cravings,2026-07-22,Margherita Pizza,753.5
Steak Out,2026-07-19,Paneer Butter Masala,697.08
Curry House,2026-08-03,Pad Thai,535.92
Midnight Munchies,2026-08-05,Tacos,638.17
Pasta Express,2026-08-14,Cheeseburger,1135.47
Midnight Munchies,2026-06-24,Mutton Kebab,246.8
Wok This Way,2026-07-25,Chocolate Cake,1171.35
Sweet Cravings,2026-06-26,Caesar Salad,1028.16
Steak Out,2026-09-05,Tacos,720.19
Taco Fiesta,2026-08-26,Caesar Salad,723.82
Pizza Paradise,2026-09-03,Mutton Kebab,720.11
Vegan Bites,2026-09-08,Pad Thai,476.7
Noodle Corner,2026-08-10,Paneer Butter Masala,452.45
The Kebab Shop,2026-08-06,Caesar Salad,392.68
Sweet Cravings,2026-08-07,Pad Thai,1164.76
Curry House,2026-07-28,Cheeseburger,1057.94
Spice Village,2026-07-01,Tacos,399.99
Noodle Corner,2026-06-25,Tacos,241.74
Midnight Munchies,2026-08-28,Paneer Butter Masala,799.68
Steak Out,2026-07-17,Caesar Salad,1041.69
The Kebab Shop,2026-09-17,Margherita Pizza,1042.4
Pasta Express,2026-08-03,Margherita Pizza,1195.57
Grill Master,2026-09-03,Cheeseburger,819.06
Steak Out,2026-06-30,California Roll,832.11
Curry House,2026-07-03,Pad Thai,721.56
Steak Out,2026-06-25,Tacos,919.88
Sushi Rollers,2026-08-12,Cheeseburger,619.16
Breakfast Club,2026-07-18,Chicken Biryani,411.32
Biryani Central,2026-08-09,Tacos,1082.04
Pizza Paradise,2026-08-01,Chocolate Cake,159.94
Taco Fiesta,2026-07-29,California Roll,266.53
Curry House,2026-08-03,Mutton Kebab,899.16
Breakfast Club,2026-08-15,Tacos,957.28
Taco Fiesta,2026-07-14,California Roll,609.39
Midnight Munchies,2026-08-06,Pad Thai,788.57
Pasta Express,2026-07-31,Caesar Salad,669.4
Noodle Corner,2026-06-23,Cheeseburger,303.78
Sushi Rollers,2026-07-04,Mutton Kebab,1105.46
Spice Village,2026-06-24,Tacos,455.64
Curry House,2026-09-12,Tacos,488.03
Healthy Greens,2026-08-28,Paneer Butter Masala,463.94
Pizza Paradise,2026-08-19,Caesar Salad,235.39
Biryani Central,2026-07-10,Chicken Biryani,609.14
Pasta Express,2026-06-21,Caesar Salad,181.19
Dim Sum Delight,2026-09-09,Paneer Butter Masala,196.95
Taco Fiesta,2026-08-20,Paneer Butter Masala,1028.61
Biryani Central,2026-08-09,Cheeseburger,947.89
The Kebab Shop,2026-09-17,Pad Thai,376.6
Noodle Corner,2026-07-08,Pad Thai,986.58
Wok This Way,2026-08-22,Paneer Butter Masala,461.78
Steak Out,2026-08-19,California Roll,344.98
Vegan Bites,2026-07-25,Chocolate Cake,333.26
Wok This Way,2026-09-04,Paneer Butter Masala,217.74
Taco Fiesta,2026-08-18,Tacos,719.44
Dim Sum Delight,2026-07-15,Margherita Pizza,295.37
Sweet Cravings,2026-07-26,Margherita Pizza,359.08
Vegan Bites,2026-09-08,Margherita Pizza,279.5
Breakfast Club,2026-07-19,Paneer Butter Masala,731.97
Pasta Express,2026-07-18,California Roll,878.52
Breakfast Club,2026-07-17,Paneer Butter Masala,929.27
Wok This Way,2026-08-28,California Roll,351.74
Sweet Cravings,2026-07-11,Paneer Butter Masala,614.24
Dim Sum Delight,2026-07-22,Chocolate Cake,1113.8
Biryani Central,2026-07-28,Paneer Butter Masala,850.55
Wok This Way,2026-07-03,Pad Thai,372.75
Grill Master,2026-06-26,Cheeseburger,457.33
Bake & Cake,2026-06-30,Tacos,885.31
Pasta Express,2026-08-27,Chicken Biryani,557.69
Burger Hub,2026-08-27,Cheeseburger,903.34
Curry House,2026-08-07,Pad Thai,354.81
Biryani Central,2026-06-22,California Roll,621.31
Noodle Corner,2026-09-07,Paneer Butter Masala,214.71
Pasta Express,2026-09-01,Chicken Biryani,502.21
Burger Hub,2026-08-06,Caesar Salad,451.31
Sushi Rollers,2026-08-02,Paneer Butter Masala,1031.8
Dim Sum Delight,2026-07-15,Chocolate Cake,689.82
Midnight Munchies,2026-08-29,Chicken Biryani,1017.23
Vegan Bites,2026-07-28,California Roll,556.15
Vegan Bites,2026-08-28,Paneer Butter Masala,499.23
Bake & Cake,2026-07-04,Caesar Salad,716.18
Curry House,2026-09-08,Pad Thai,779.9
Burger Hub,2026-08-26,Mutton Kebab,1008.12
Dim Sum Delight,2026-08-22,California Roll,331.53
Pizza Paradise,2026-09-06,Tacos,393.44
Spice Village,2026-08-11,Cheeseburger,428.72
Breakfast Club,2026-07-14,Pad Thai,998.62
Pizza Paradise,2026-08-08,Tacos,617.23
Vegan Bites,2026-07-09,Chicken Biryani,963.46
Wok This Way,2026-09-15,Tacos,1161.74
